x,y,baseline,depth,groove
<<<<<<< HEAD
121,255,281.5713757689362,26.571375768936207,1
122,255,280.80259788262,25.802597882619978,1
123,255,280.03381999630375,25.033819996303748,1
131,326,273.88359690577386,-52.11640309422614,0
132,326,273.1148190194576,-52.88518098054237,0
133,326,272.3460411331414,-53.6539588668586,0
139,254,267.733373815244,13.733373815244022,1
140,254,266.9645959289278,12.964595928927793,1
141,254,266.19581804261156,12.195818042611563,1
142,254,265.42704015629533,11.427040156295334,1
143,257,264.6582622699791,7.6582622699791045,1
144,258,263.8894843836628,5.889484383662818,1
145,258,263.1207064973466,5.120706497346589,1
146,259,262.35192861103036,3.3519286110303597,0
147,259,261.58315072471413,2.5831507247141303,0
148,255,260.8143728383979,5.814372838397901,1
149,255,260.0455949520817,5.045594952081672,1
150,255,259.27681706576544,4.276817065765442,0
151,253,258.5080391794492,5.508039179449213,1
154,260,256.20170552050047,-3.798294479499532,0
155,260,255.43292763418427,-4.567072365815733,0
156,260,254.66414974786804,-5.335850252131962,0
157,260,253.89537186155178,-6.10462813844822,0
158,260,253.12659397523555,-6.873406024764449,0
159,240,252.35781608891932,12.357816088919321,1
=======
121,255,145.0646659842076,24.064665984207608,1
122,255,145.0646659842076,23.064665984207608,1
123,255,145.0646659842076,22.064665984207608,1
131,326,132.6879186796214,1.68791867962139,0
132,326,132.6879186796214,0.6879186796213901,0
133,326,132.6879186796214,-0.3120813203786099,0
139,254,145.23898636877925,6.238986368779251,1
140,254,145.23898636877925,5.238986368779251,1
141,254,145.23898636877925,4.238986368779251,0
142,254,145.23898636877925,3.2389863687792513,0
143,257,144.71602521506435,1.7160252150643487,0
144,258,144.5417048304927,0.541704830492705,0
145,258,144.5417048304927,-0.458295169507295,0
146,259,144.36738444592106,-1.6326155540789387,0
147,259,144.36738444592106,-2.6326155540789387,0
148,255,145.0646659842076,-2.9353340157923924,0
149,255,145.0646659842076,-3.9353340157923924,0
150,255,145.0646659842076,-4.935334015792392,0
151,253,145.4133067533509,-5.586693246649105,0
154,260,144.19306406134945,-9.806935938650554,0
155,260,144.19306406134945,-10.806935938650554,0
156,260,144.19306406134945,-11.806935938650554,0
157,260,144.19306406134945,-12.806935938650554,0
158,260,144.19306406134945,-13.806935938650554,0
159,240,147.67947175278218,-11.320528247217823,0
>>>>>>> feature
